blockNum,rt,response,subj_idx,conflict,ics,starting_trial
2,0.69781,1,P10,0,1,0
2,0.72907,1,P10,0,1,0
2,0.67249,1,P10,1,1,0
2,0.62931,1,P10,1,1,0
2,0.58269,1,P10,0,1,0
2,0.64376,1,P10,1,1,0
2,0.57916,1,P10,0,1,0
2,0.66784,1,P10,1,1,0
2,0.58056,1,P10,0,1,0
2,0.57142,1,P10,0,1,0
2,0.72235,1,P10,1,1,0
2,0.73108,1,P10,1,1,0
2,0.61653,1,P10,0,1,0
2,0.69758,1,P10,0,1,0
2,0.53008,1,P10,0,1,0
2,0.7571,1,P10,1,1,0
2,0.68646,1,P10,1,1,0
2,0.69957,1,P10,1,1,0
2,1.1088,1,P10,0,1,0
2,0.52341,1,P10,0,1,0
2,0.90672,1,P10,1,1,0
2,0.81388,1,P10,1,1,0
2,0.62701,1,P10,0,1,0
2,0.57653,1,P10,0,1,0
2,0.65563,1,P10,0,1,0
2,0.81502,1,P10,1,1,0
2,0.58782,1,P10,0,1,0
2,0.98259,1,P10,0,1,0
2,0.61975,1,P10,0,1,0
2,0.78662,1,P10,1,1,0
2,0.70982,1,P10,1,1,0
2,0.661,1,P10,0,1,0
2,0.71231,1,P10,1,1,0
2,0.6253,1,P10,0,1,0
2,0.6947,1,P10,0,1,0
2,0.66756,1,P10,0,1,0
2,0.88626,1,P10,1,1,0
2,0.91727,1,P10,1,1,0
3,0.79523,1,P10,1,1,1
3,0.58998,1,P10,0,1,0
3,0.53713,1,P10,0,1,0
3,0.65996,1,P10,1,1,0
3,0.65892,1,P10,1,1,0
3,0.54753,1,P10,0,1,0
3,0.59038,1,P10,1,1,0
3,0.66339,1,P10,0,1,0
3,0.65838,1,P10,0,1,0
3,0.68172,1,P10,0,1,0
3,0.70052,1,P10,1,1,0
3,0.7712,1,P10,1,1,0
3,0.75204,1,P10,1,1,0
3,1.017,1,P10,0,1,0
3,0.53577,1,P10,0,1,0
3,0.63232,1,P10,1,1,0
3,0.67123,1,P10,1,1,0
3,0.56605,1,P10,1,1,0
3,0.59911,1,P10,0,1,0
3,0.72194,1,P10,1,1,0
3,0.75464,1,P10,1,1,0
3,0.55951,1,P10,1,1,0
3,0.70284,1,P10,0,1,0
3,0.76996,1,P10,1,1,0
3,0.66533,1,P10,1,1,0
3,0.58037,1,P10,1,1,0
3,0.5774,1,P10,0,1,0
3,0.54847,1,P10,0,1,0
3,0.67583,1,P10,0,1,0
3,0.69454,1,P10,1,1,0
3,0.76985,1,P10,1,1,0
3,0.72122,1,P10,1,1,0
3,0.56787,1,P10,0,1,0
3,0.56888,1,P10,0,1,0
3,0.66013,1,P10,0,1,0
3,0.66734,1,P10,1,1,0
3,0.76644,1,P10,1,1,0
3,0.6617,1,P10,1,1,0
3,0.56309,1,P10,0,1,0
3,0.6841,1,P10,1,1,0
3,0.77492,1,P10,0,1,0
3,0.70188,1,P10,0,1,0
3,0.65249,1,P10,0,1,0
3,0.72518,1,P10,1,1,0
3,0.97184,1,P10,0,1,0
3,1.2528,1,P10,1,1,0
3,0.76561,1,P10,1,1,0
3,1.1309,1,P10,1,1,0
3,0.68608,1,P10,0,1,0
3,0.57345,1,P10,0,1,0
3,0.68013,1,P10,0,1,0
3,0.71746,1,P10,1,1,0
3,0.75435,1,P10,0,1,0
3,0.69102,1,P10,0,1,0
3,0.64577,1,P10,1,1,0
3,0.76102,1,P10,1,1,0
3,0.61401,1,P10,0,1,0
3,0.693,1,P10,1,1,0
3,0.55606,1,P10,0,1,0
3,0.69261,1,P10,0,1,0
3,0.65368,1,P10,1,1,0
3,0.59511,1,P10,0,1,0
3,0.85581,1,P10,0,1,0
3,0.83255,1,P10,1,1,0
4,0.8746,1,P10,1,1,1
4,0.74985,1,P10,1,1,0
4,0.53483,1,P10,0,1,0
4,0.64625,1,P10,0,1,0
4,0.69527,1,P10,1,1,0
4,0.62856,1,P10,1,1,0
4,0.50124,1,P10,0,1,0
4,0.87651,1,P10,0,1,0
4,0.69543,1,P10,0,1,0
4,0.69489,1,P10,1,1,0
4,0.67351,1,P10,0,1,0
4,0.68886,1,P10,1,1,0
4,0.61558,1,P10,1,1,0
4,0.57411,1,P10,0,1,0
4,0.6273,1,P10,1,1,0
4,0.57659,1,P10,0,1,0
4,0.62534,0,P10,1,1,0
4,1.5048,1,P10,1,1,0
4,0.70534,1,P10,0,1,0
4,0.83658,1,P10,1,1,0
4,0.66333,1,P10,1,1,0
4,0.61051,1,P10,0,1,0
4,0.61756,1,P10,1,1,0
4,0.6562,1,P10,1,1,0
4,0.65725,1,P10,1,1,0
4,0.59811,1,P10,0,1,0
4,0.70944,1,P10,1,1,0
4,0.78417,1,P10,1,1,0
4,0.57903,1,P10,0,1,0
4,0.63194,1,P10,0,1,0
4,0.58879,1,P10,0,1,0
4,0.5795,1,P10,1,1,0
4,0.85204,1,P10,1,1,0
4,0.65081,1,P10,1,1,0
4,0.6859,1,P10,0,1,0
4,0.5487,1,P10,0,1,0
4,0.60003,1,P10,1,1,0
4,0.75317,1,P10,1,1,0
4,0.59011,1,P10,0,1,0
4,0.64918,1,P10,0,1,0
4,0.63384,1,P10,1,1,0
4,0.78671,1,P10,1,1,0
4,0.60207,1,P10,0,1,0
4,0.49705,1,P10,0,1,0
4,0.55824,1,P10,0,1,0
4,0.62506,1,P10,1,1,0
4,0.6459,1,P10,1,1,0
4,0.61696,1,P10,1,1,0
4,0.55641,1,P10,0,1,0
4,0.54299,1,P10,0,1,0
4,0.62628,1,P10,0,1,0
4,0.63116,1,P10,1,1,0
4,0.58589,1,P10,0,1,0
4,0.61063,1,P10,0,1,0
4,0.68759,1,P10,0,1,0
4,0.6381,1,P10,1,1,0
4,0.5853,1,P10,0,1,0
4,0.67059,1,P10,0,1,0
4,0.69976,1,P10,1,1,0
4,0.65717,1,P10,1,1,0
4,0.76384,1,P10,1,1,0
4,0.59061,1,P10,0,1,0
4,0.64118,1,P10,0,1,0
4,1.0445,1,P10,1,1,0
1,1.4885,1,P11,1,0,1
1,1.0434,1,P11,1,0,0
1,0.72821,1,P11,1,0,0
1,0.50353,1,P11,0,0,0
1,0.96266,1,P11,1,0,0
1,1.1999,1,P11,1,0,0
1,0.73659,1,P11,0,0,0
1,0.65549,1,P11,1,0,0
1,1.4406,1,P11,1,0,0
1,0.70993,1,P11,1,0,0
1,0.6365,1,P11,0,0,0
1,0.59715,1,P11,0,0,0
1,0.51041,1,P11,0,0,0
1,0.95526,1,P11,1,0,0
1,0.86438,1,P11,1,0,0
1,0.50929,1,P11,0,0,0
1,0.70414,1,P11,1,0,0
1,0.72718,1,P11,1,0,0
1,0.60817,1,P11,0,0,0
1,0.49324,1,P11,0,0,0
1,0.63414,1,P11,1,0,0
1,0.88692,1,P11,1,0,0
1,0.53586,1,P11,0,0,0
1,0.65494,1,P11,1,0,0
1,1.0681,1,P11,1,0,0
1,0.53958,1,P11,0,0,0
1,0.63041,1,P11,0,0,0
1,0.50962,1,P11,0,0,0
1,0.86895,0,P11,1,0,0
1,0.77784,1,P11,1,0,0
1,0.68307,1,P11,0,0,0
1,0.70401,1,P11,1,0,0
1,0.59973,1,P11,0,0,0
1,0.93615,1,P11,1,0,0
1,0.51304,1,P11,0,0,0
1,0.62406,1,P11,0,0,0
1,0.90297,1,P11,1,0,0
1,1.0876,1,P11,1,0,0
1,0.68491,1,P11,0,0,0
1,0.62999,1,P11,0,0,0
1,0.54262,1,P11,0,0,0
1,1.1138,1,P11,1,0,0
1,1.0189,1,P11,1,0,0
1,0.91216,1,P11,1,0,0
1,0.64923,1,P11,0,0,0
1,0.55186,1,P11,0,0,0
1,0.91129,1,P11,1,0,0
1,0.81058,1,P11,1,0,0
1,0.5357,1,P11,0,0,0
1,0.62883,1,P11,0,0,0
1,0.62832,1,P11,0,0,0
1,0.63554,1,P11,1,0,0
1,0.64834,1,P11,0,0,0
1,0.40331,1,P11,0,0,0
1,0.66408,1,P11,0,0,0
1,0.74301,1,P11,1,0,0
1,0.83418,1,P11,1,0,0
1,0.58569,1,P11,0,0,0
1,0.73286,1,P11,1,0,0
1,0.46978,1,P11,0,0,0
1,0.45906,1,P11,0,0,0
1,0.54402,1,P11,0,0,0
1,0.80298,0,P11,1,0,0
1,0.79376,1,P11,1,0,0
3,0.7819,1,P11,1,1,1
3,0.585,1,P11,0,1,0
3,0.574,1,P11,0,1,0
3,0.60688,1,P11,0,1,0
3,0.93421,1,P11,1,1,0
3,1.0068,1,P11,1,1,0
3,0.76579,1,P11,1,1,0
3,0.65876,1,P11,0,1,0
3,0.65743,1,P11,0,1,0
3,0.64029,1,P11,0,1,0
3,0.99701,1,P11,1,1,0
3,0.87641,1,P11,1,1,0
3,0.54567,1,P11,0,1,0
3,0.54838,1,P11,0,1,0
3,0.73337,1,P11,1,1,0
3,0.70001,1,P11,1,1,0
3,0.55283,1,P11,0,1,0
3,0.98357,1,P11,1,1,0
3,0.56243,1,P11,0,1,0
3,0.53893,1,P11,0,1,0
3,1.0101,1,P11,1,1,0
3,0.87726,1,P11,1,1,0
3,0.81858,1,P11,1,1,0
3,0.538,1,P11,0,1,0
3,0.50309,1,P11,0,1,0
3,0.82001,1,P11,1,1,0
3,0.61864,1,P11,1,1,0
3,0.74384,1,P11,1,1,0
3,0.61663,1,P11,0,1,0
3,0.54382,1,P11,0,1,0
3,0.78912,1,P11,1,1,0
3,0.78851,1,P11,1,1,0
4,0.61769,1,P11,0,1,1
4,0.62109,1,P11,0,1,0
4,0.83571,1,P11,1,1,0
4,0.65057,1,P11,1,1,0
4,0.58356,1,P11,0,1,0
4,0.83015,1,P11,1,1,0
4,0.62276,1,P11,0,1,0
4,0.68201,1,P11,0,1,0
4,0.78896,1,P11,1,1,0
4,0.72378,1,P11,1,1,0
4,0.58893,1,P11,0,1,0
4,0.50168,1,P11,0,1,0
4,0.77227,1,P11,1,1,0
4,0.53896,1,P11,0,1,0
4,0.56765,1,P11,0,1,0
4,0.64702,1,P11,0,1,0
4,0.88606,1,P11,1,1,0
4,1.4089,1,P11,1,1,0
4,0.53541,1,P11,0,1,0
4,0.70282,1,P11,0,1,0
4,0.54603,1,P11,0,1,0
4,0.97516,1,P11,1,1,0
4,0.57798,1,P11,0,1,0
4,0.62313,1,P11,1,1,0
4,0.67151,1,P11,0,1,0
4,0.70253,1,P11,1,1,0
4,1.2076,1,P11,1,1,0
4,0.99037,1,P11,1,1,0
4,0.54748,1,P11,0,1,0
4,0.95034,1,P11,1,1,0
4,0.99313,1,P11,1,1,0
4,0.85584,1,P11,1,1,0
5,0.83765,1,P11,1,1,1
5,0.50898,1,P11,0,1,0
5,0.48378,1,P11,0,1,0
5,0.68888,1,P11,1,1,0
5,0.54347,1,P11,0,1,0
5,1.0389,1,P11,1,1,0
5,0.8098,1,P11,1,1,0
5,0.7428,1,P11,1,1,0
5,0.88425,1,P11,0,1,0
5,0.54144,1,P11,0,1,0
5,0.71646,1,P11,0,1,0
5,0.79384,1,P11,1,1,0
5,0.65476,1,P11,1,1,0
5,0.63146,1,P11,0,1,0
5,0.6803,1,P11,0,1,0
5,0.85529,1,P11,0,1,0
5,0.94234,1,P11,1,1,0
5,0.92537,1,P11,1,1,0
5,0.8386,1,P11,0,1,0
5,0.61396,1,P11,0,1,0
5,0.8608,1,P11,1,1,0
5,0.7895,1,P11,0,1,0
5,0.60034,1,P11,0,1,0
5,0.73921,1,P11,1,1,0
5,0.7544,1,P11,0,1,0
5,0.6175,1,P11,0,1,0
5,0.65081,1,P11,0,1,0
5,1.1398,1,P11,1,1,0
5,0.74454,1,P11,0,1,0
5,0.93735,1,P11,1,1,0
5,0.85592,1,P11,1,1,0
5,0.55296,1,P11,0,1,0
6,1.1556,1,P11,1,1,1
6,1.0707,1,P11,0,1,0
6,0.67781,0,P11,1,1,0
6,0.9814,1,P11,1,1,0
6,0.66039,1,P11,0,1,0
6,0.57924,1,P11,0,1,0
6,0.74798,1,P11,1,1,0
6,0.58553,1,P11,0,1,0
6,0.59198,1,P11,0,1,0
6,0.62699,1,P11,0,1,0
6,0.68392,1,P11,1,1,0
6,0.58635,1,P11,0,1,0
6,0.59928,1,P11,0,1,0
6,1.048,1,P11,1,1,0
6,0.76914,1,P11,1,1,0
6,0.59799,1,P11,0,1,0
6,0.60291,1,P11,0,1,0
6,1.3681,1,P11,1,1,0
6,0.73533,1,P11,0,1,0
6,0.95464,1,P11,1,1,0
6,0.68966,1,P11,0,1,0
6,0.63064,1,P11,0,1,0
6,0.76514,1,P11,1,1,0
6,0.97251,1,P11,1,1,0
6,0.61545,1,P11,0,1,0
6,0.6428,1,P11,0,1,0
6,0.91218,1,P11,1,1,0
6,1.0786,1,P11,1,1,0
6,0.98543,1,P11,1,1,0
6,0.75248,1,P11,0,1,0
6,0.87375,1,P11,1,1,0
6,0.92019,1,P11,1,1,0
1,1.1402,1,P12,1,0,1
1,0.80396,1,P12,1,0,0
1,1.1472,1,P12,0,0,0
1,1.1025,1,P12,1,0,0
1,1.3398,1,P12,1,0,0
1,1.1962,1,P12,0,0,0
1,1.2113,1,P12,1,0,0
1,0.9324,1,P12,1,0,0
1,1.2338,1,P12,1,0,0
1,0.76057,1,P12,0,0,0
1,0.71324,1,P12,0,0,0
1,0.65803,1,P12,0,0,0
1,0.91913,1,P12,1,0,0
1,1.1564,1,P12,1,0,0
1,0.87315,1,P12,0,0,0
1,1.0281,1,P12,1,0,0
1,1.107,1,P12,1,0,0
1,0.76405,1,P12,0,0,0
1,0.75294,1,P12,0,0,0
1,0.7579,1,P12,1,0,0
1,1.0669,1,P12,1,0,0
1,0.70785,1,P12,0,0,0
1,1.3947,1,P12,1,0,0
1,1.2961,1,P12,1,0,0
1,0.77539,1,P12,0,0,0
1,0.62622,1,P12,0,0,0
1,0.69755,1,P12,0,0,0
1,1.1207,1,P12,1,0,0
1,0.98163,1,P12,1,0,0
1,0.67074,1,P12,0,0,0
1,1.1318,1,P12,1,0,0
1,0.8674,1,P12,0,0,0
1,0.83598,1,P12,1,0,0
1,0.75685,1,P12,0,0,0
1,0.6757,1,P12,0,0,0
1,0.91465,1,P12,1,0,0
1,1.2036,1,P12,1,0,0
1,0.62482,1,P12,0,0,0
1,0.68195,1,P12,0,0,0
1,0.63454,1,P12,0,0,0
1,1.1017,1,P12,1,0,0
1,1.1427,1,P12,1,0,0
1,0.93202,1,P12,1,0,0
1,0.70099,1,P12,0,0,0
1,0.70765,1,P12,0,0,0
1,1.2271,1,P12,1,0,0
1,0.94238,1,P12,1,0,0
1,0.79553,1,P12,0,0,0
1,0.69675,1,P12,0,0,0
1,0.73593,1,P12,0,0,0
1,1.3512,1,P12,1,0,0
1,0.68432,1,P12,0,0,0
1,0.69503,1,P12,0,0,0
1,0.61993,1,P12,0,0,0
1,0.98681,1,P12,1,0,0
1,1.2301,1,P12,1,0,0
1,0.67744,1,P12,0,0,0
1,1.1286,1,P12,1,0,0
1,0.65774,1,P12,0,0,0
1,0.75069,1,P12,0,0,0
1,0.67585,1,P12,0,0,0
1,1.1986,1,P12,1,0,0
1,1.1495,1,P12,1,0,0
3,0.69811,1,P12,0,1,1
3,1.1469,1,P12,1,1,0
3,0.81157,1,P12,0,1,0
3,0.68249,1,P12,0,1,0
3,0.90544,1,P12,1,1,0
3,0.77827,1,P12,1,1,0
3,0.50363,1,P12,0,1,0
3,0.59264,1,P12,0,1,0
3,0.72131,1,P12,0,1,0
3,0.99652,1,P12,1,1,0
3,0.78149,1,P12,1,1,0
3,1.1469,1,P12,1,1,0
3,0.64393,1,P12,0,1,0
3,0.60229,1,P12,0,1,0
3,1.1698,1,P12,1,1,0
3,1.029,1,P12,1,1,0
3,0.80216,1,P12,0,1,0
3,0.65559,1,P12,0,1,0
3,0.63077,1,P12,0,1,0
3,0.91035,1,P12,1,1,0
3,0.75514,1,P12,0,1,0
3,0.74973,1,P12,0,1,0
3,0.78683,1,P12,0,1,0
3,1.0098,1,P12,1,1,0
3,0.91686,1,P12,1,1,0
3,0.70011,1,P12,0,1,0
3,1.0073,1,P12,1,1,0
3,0.74455,1,P12,0,1,0
3,0.80566,1,P12,0,1,0
3,0.92243,1,P12,0,1,0
3,0.77323,1,P12,1,1,0
3,1.0443,1,P12,1,1,0
4,0.82616,1,P12,1,1,1
4,0.91694,1,P12,1,1,0
4,0.84177,1,P12,1,1,0
4,1.1211,1,P12,0,1,0
4,0.82045,1,P12,1,1,0
4,0.99373,1,P12,1,1,0
4,0.5784,1,P12,0,1,0
4,1.0733,1,P12,1,1,0
