blockNum,rt,response,subj_idx,conflict,ics,starting_trial
1,0.741547502,1,1,1,0,0
1,0.594729258,1,1,0,0,0
1,0.847590672,1,1,1,0,0
1,1.013468195,1,1,1,0,0
1,0.561886631,1,1,0,0,0
1,0.654678648,1,1,1,0,0
1,0.650742562,1,1,1,0,0
1,0.540863166,1,1,0,0,0
1,0.609640355,1,1,1,0,0
1,0.578649623,1,1,1,0,0
1,0.547790432,1,1,0,0,0
1,0.604780393,1,1,1,0,0
1,0.804118235,1,1,1,0,0
1,0.56740844,1,1,0,0,0
1,0.751781811,1,1,1,0,0
1,0.65923948,1,1,0,0,0
1,0.602049511,1,1,0,0,0
1,0.62681686,1,1,1,0,0
1,0.540251392,1,1,0,0,0
1,0.506263612,1,1,0,0,0
1,0.703412919,1,1,1,0,0
1,0.69407071,1,1,0,0,0
1,0.607600041,1,1,0,0,0
1,0.674779646,1,1,1,0,0
1,0.832859647,1,1,1,0,0
1,0.65986837,1,1,0,0,0
1,0.63155191,1,1,0,0,0
1,0.746386713,1,1,1,0,0
1,0.566041392,1,1,0,0,0
1,0.581476859,1,1,0,0,0
1,0.704201229,1,1,1,0,0
1,0.564183667,1,1,0,0,0
1,0.718115559,1,1,1,0,0
1,0.539704839,1,1,0,0,0
1,0.662725875,1,1,1,0,0
1,0.653392108,1,1,0,0,0
1,0.755166282,1,1,1,0,0
1,0.649490695,1,1,0,0,0
1,0.654983458,1,1,0,0,0
1,0.706454712,1,1,1,0,0
1,0.575722689,1,1,0,0,0
1,0.853163109,1,1,1,0,0
1,0.682396156,1,1,1,0,0
1,0.628529757,1,1,0,0,0
1,0.697364159,1,1,1,0,0
1,0.519657211,1,1,0,0,0
1,0.64321153,1,1,1,0,0
1,0.566310561,1,1,0,0,0
1,0.634158759,1,1,1,0,0
1,0.594924407,1,1,1,0,0
1,0.56806712,1,1,0,0,0
1,0.596249224,1,1,0,0,0
1,0.634709194,1,1,1,0,0
1,0.547465722,1,1,0,0,0
1,0.658760266,1,1,1,0,0
1,0.786402177,1,1,0,0,0
1,0.543693461,1,1,0,0,0
1,0.584600179,1,1,1,0,0
1,0.630180125,1,1,0,0,0
1,0.670536017,1,1,0,0,0
1,0.688134517,1,1,1,0,0
1,0.623787019,1,1,0,0,0
1,0.641276481,1,1,1,0,0
1,0.56986023,1,1,0,0,0
1,0.774964723,1,1,1,0,0
1,0.573769164,1,1,0,0,0
1,1.001332195,1,1,1,0,0
1,0.559086301,1,1,0,0,0
1,0.608606981,1,1,1,0,0
1,0.659225285,1,1,1,0,0
1,0.578778251,1,1,0,0,0
1,1.020300334,1,1,1,0,0
1,0.72707509,1,1,1,0,0
1,0.667364667,1,1,0,0,0
1,0.594956263,1,1,1,0,0
1,0.559774832,1,1,0,0,0
1,0.604338317,1,1,1,0,0
1,0.660463512,1,1,1,0,0
1,0.546410849,1,1,0,0,0
1,0.684904547,1,1,1,0,0
1,0.776460978,1,1,0,0,0
1,0.619957374,1,1,1,0,0
1,0.969390831,1,1,1,0,0
1,0.617949866,1,1,0,0,0
1,0.786216791,1,1,1,0,0
1,0.755412691,1,1,1,0,0
1,0.548971192,1,1,0,0,0
